Topic,Magnitude,StartDate,EndDate,MatchSize
event machinelearning bigdata birthday hashtag taeil udemycoupons,30,2021-06-13 13:44:53,2021-06-13 13:46:04,1
good school learning data event way amazon,25,2021-06-13 13:44:53,2021-06-13 13:46:04,1
said event something someone trump needed accused,23,2021-06-13 13:44:56,2021-06-13 13:46:02,1
learning event python mjjjby machine want say,13,2021-06-13 13:45:15,2021-06-13 13:46:01,1
pm jun data coinmarketcap th ribbon event,75,2021-06-13 13:44:53,2021-06-13 13:46:02,1
event day love trump learning intelligence join,78,2021-06-13 13:44:56,2021-06-13 13:46:02,1
event data de using series covid summit,29,2021-06-13 13:44:54,2021-06-13 13:46:03,1
data de pm special high online kst,38,2021-06-13 13:44:56,2021-06-13 13:46:02,1
event day time data place tomorrow lindell,77,2021-06-13 13:44:56,2021-06-13 13:46:03,1
bambam event video call st sign day,73,2021-06-13 13:44:56,2021-06-13 13:46:02,1
event intelligence data year see yall game,20,2021-06-13 13:44:56,2021-06-13 13:45:54,1
event txtplcs fansigning offline pay paper case,10,2021-06-13 13:45:12,2021-06-13 13:46:05,1
learning event join june chenle th go,45,2021-06-13 13:44:53,2021-06-13 13:46:02,1
event cr zhangjiayuanfc jiayuan intojiayuan oasis zhengzhou,11,2021-06-13 13:45:01,2021-06-13 13:46:01,1
event next one world new na th,26,2021-06-13 13:44:53,2021-06-13 13:46:01,1
learning event data june ha join top,47,2021-06-13 13:44:57,2021-06-13 13:46:04,1
event data aku babyjisungth buat masing ga,19,2021-06-13 13:45:00,2021-06-13 13:46:02,1
firework next seems door match related baseball,34,2021-06-13 13:44:54,2021-06-13 13:46:04,1
event lg ha feel de good en,13,2021-06-13 13:45:00,2021-06-13 13:46:04,1
one data event ready netflixindia people di,30,2021-06-13 13:44:53,2021-06-13 13:46:03,1
event machinelearning bigdata birthday hashtag taeil udemycoupons,22,2021-06-13 13:44:53,2021-06-13 13:45:58,2
good school learning data event way amazon,0,NULL,NULL,2
said event something someone trump needed accused,12,2021-06-13 13:44:56,2021-06-13 13:45:59,2
learning event python mjjjby machine want say,5,2021-06-13 13:45:20,2021-06-13 13:45:57,2
pm jun data coinmarketcap th ribbon event,8,2021-06-13 13:44:57,2021-06-13 13:45:52,2
event day love trump learning intelligence join,3,2021-06-13 13:45:41,2021-06-13 13:45:47,2
event data de using series covid summit,2,2021-06-13 13:46:00,2021-06-13 13:46:03,2
data de pm special high online kst,7,2021-06-13 13:45:02,2021-06-13 13:45:56,2
event day time data place tomorrow lindell,4,2021-06-13 13:45:30,2021-06-13 13:45:50,2
bambam event video call st sign day,63,2021-06-13 13:44:56,2021-06-13 13:46:02,2
event intelligence data year see yall game,0,NULL,NULL,2
event txtplcs fansigning offline pay paper case,10,2021-06-13 13:45:12,2021-06-13 13:46:05,2
learning event join june chenle th go,9,2021-06-13 13:45:01,2021-06-13 13:45:56,2
event cr zhangjiayuanfc jiayuan intojiayuan oasis zhengzhou,9,2021-06-13 13:45:01,2021-06-13 13:46:01,2
event next one world new na th,4,2021-06-13 13:44:53,2021-06-13 13:45:09,2
learning event data june ha join top,5,2021-06-13 13:44:57,2021-06-13 13:45:56,2
event data aku babyjisungth buat masing ga,4,2021-06-13 13:45:00,2021-06-13 13:45:52,2
firework next seems door match related baseball,34,2021-06-13 13:44:54,2021-06-13 13:46:04,2
event lg ha feel de good en,0,NULL,NULL,2
one data event ready netflixindia people di,4,2021-06-13 13:45:00,2021-06-13 13:46:00,2
event machinelearning bigdata birthday hashtag taeil udemycoupons,11,2021-06-13 13:44:53,2021-06-13 13:45:58,3
good school learning data event way amazon,0,NULL,NULL,3
said event something someone trump needed accused,12,2021-06-13 13:44:56,2021-06-13 13:45:59,3
learning event python mjjjby machine want say,0,NULL,NULL,3
pm jun data coinmarketcap th ribbon event,5,2021-06-13 13:44:57,2021-06-13 13:45:19,3
event day love trump learning intelligence join,0,NULL,NULL,3
event data de using series covid summit,0,NULL,NULL,3
data de pm special high online kst,7,2021-06-13 13:45:02,2021-06-13 13:45:56,3
event day time data place tomorrow lindell,0,NULL,NULL,3
bambam event video call st sign day,45,2021-06-13 13:44:56,2021-06-13 13:46:00,3
event intelligence data year see yall game,0,NULL,NULL,3
event txtplcs fansigning offline pay paper case,7,2021-06-13 13:45:12,2021-06-13 13:45:46,3
learning event join june chenle th go,2,2021-06-13 13:45:10,2021-06-13 13:45:11,3
event cr zhangjiayuanfc jiayuan intojiayuan oasis zhengzhou,9,2021-06-13 13:45:01,2021-06-13 13:46:01,3
event next one world new na th,3,2021-06-13 13:44:53,2021-06-13 13:45:09,3
learning event data june ha join top,0,NULL,NULL,3
event data aku babyjisungth buat masing ga,3,2021-06-13 13:45:00,2021-06-13 13:45:52,3
firework next seems door match related baseball,34,2021-06-13 13:44:54,2021-06-13 13:46:04,3
event lg ha feel de good en,0,NULL,NULL,3
one data event ready netflixindia people di,4,2021-06-13 13:45:00,2021-06-13 13:46:00,3
